"Time (UTC)","Barometric Pressure (mbar)"
2018-11-29 13:33:00,1003.00
2018-11-29 13:38:00,1003.00
2018-11-29 13:43:00,1003.10
2018-11-29 13:48:00,1003.00
2018-11-29 13:53:00,1003.10
2018-11-29 13:58:00,1003.10
2018-11-29 14:03:00,1003.10
2018-11-29 14:08:00,1003.20
2018-11-29 14:13:00,1003.30
2018-11-29 14:18:00,1003.30
2018-11-29 14:23:00,1003.30
2018-11-29 14:28:00,1003.40
2018-11-29 14:33:00,1003.30
2018-11-29 14:38:00,1003.40
2018-11-29 14:43:00,1003.40
2018-11-29 14:48:00,1003.40
2018-11-29 14:53:00,1003.50
2018-11-29 14:58:00,1003.60
2018-11-29 15:03:00,1003.70
2018-11-29 15:08:00,1003.80
2018-11-29 15:13:00,1003.60
2018-11-29 15:18:00,1003.60
2018-11-29 15:23:00,1003.60
2018-11-29 15:28:00,1003.70
2018-11-29 15:33:00,1003.60
2018-11-29 15:38:00,1003.50
2018-11-29 15:43:00,1003.50
2018-11-29 15:48:00,1003.60
2018-11-29 15:58:00,1003.50
2018-11-29 16:03:00,1003.50
2018-11-29 16:08:00,1003.60
2018-11-29 16:13:00,1003.60
2018-11-29 16:18:00,1003.70
2018-11-29 16:23:00,1003.70
2018-11-29 16:28:00,1003.70
2018-11-29 16:33:00,1003.60
2018-11-29 16:38:00,1003.60
2018-11-29 16:43:00,1003.60
2018-11-29 16:48:00,1003.50
2018-11-29 16:53:00,1003.60
2018-11-29 16:58:00,1003.60
2018-11-29 17:03:00,1003.60
2018-11-29 17:08:00,1003.60
2018-11-29 17:13:00,1003.80
2018-11-29 17:18:00,1003.60
2018-11-29 17:23:00,1003.70
2018-11-29 17:28:00,1003.70
2018-11-29 17:33:00,1003.80
2018-11-29 17:38:00,1003.90
2018-11-29 17:43:00,1004.00
2018-11-29 17:48:00,1004.00
2018-11-29 17:58:00,1004.20
2018-11-29 18:08:00,1004.10
2018-11-29 18:13:00,1004.10
2018-11-29 18:18:00,1004.30
2018-11-29 18:23:00,1004.30
2018-11-29 18:28:00,1004.30
2018-11-29 18:33:00,1004.50
2018-11-29 18:38:00,1004.50
2018-11-29 18:48:00,1004.70
2018-11-29 18:53:00,1004.60
2018-11-29 18:58:00,1004.70
2018-11-29 19:03:00,1004.60
2018-11-29 19:08:00,1004.60
2018-11-29 19:13:00,1004.70
2018-11-29 19:18:00,1004.70
2018-11-29 19:23:00,1004.90
2018-11-29 19:28:00,1005.20
2018-11-29 19:33:00,1005.20
2018-11-29 19:38:00,1005.30
2018-11-29 19:43:00,1005.40
2018-11-29 19:48:00,1005.40
2018-11-29 19:53:00,1005.50
2018-11-29 19:58:00,1005.70
2018-11-29 20:03:00,1005.80
2018-11-29 20:08:00,1005.90
2018-11-29 20:13:00,1005.90
2018-11-29 20:18:00,1006.10
2018-11-29 20:23:00,1006.20
2018-11-29 20:28:00,1006.00
2018-11-29 20:33:00,1006.20
2018-11-29 20:38:00,1006.20
2018-11-29 20:43:00,1006.30
2018-11-29 20:48:00,1006.30
2018-11-29 20:53:00,1006.30
2018-11-29 20:58:00,1006.50
2018-11-29 21:03:00,1006.60
2018-11-29 21:08:00,1006.70
2018-11-29 21:13:00,1006.90
2018-11-29 21:18:00,1007.00
2018-11-29 21:23:00,1007.10
2018-11-29 21:33:00,1007.30
2018-11-29 21:38:00,1007.40
2018-11-29 21:43:00,1007.40
2018-11-29 21:48:00,1007.50
2018-11-29 21:53:00,1007.60
2018-11-29 21:58:00,1007.70
2018-11-29 22:03:00,1007.80
2018-11-29 22:08:00,1007.80
2018-11-29 22:13:00,1007.80
2018-11-29 22:18:00,1007.80
2018-11-29 22:23:00,1007.80
2018-11-29 22:28:00,1008.00
2018-11-29 22:33:00,1008.10
2018-11-29 22:38:00,1008.20
2018-11-29 22:43:00,1008.20
2018-11-29 22:48:00,1008.30
2018-11-29 22:53:00,1008.20
2018-11-29 22:58:00,1008.30
2018-11-29 23:03:00,1008.30
2018-11-29 23:13:00,1008.20
2018-11-29 23:18:00,1008.30
2018-11-29 23:23:00,1008.30
2018-11-29 23:28:00,1008.30
2018-11-29 23:33:00,1008.50
2018-11-29 23:38:00,1008.40
2018-11-29 23:43:00,1008.60
2018-11-29 23:48:00,1008.60
2018-11-29 23:58:00,1008.80
2018-11-30 00:03:00,1008.70
2018-11-30 00:08:00,1008.70
2018-11-30 00:13:00,1008.70
2018-11-30 00:18:00,1008.60
2018-11-30 00:23:00,1008.70
2018-11-30 00:28:00,1008.70
2018-11-30 00:33:00,1008.70
2018-11-30 00:38:00,1008.70
2018-11-30 00:43:00,1008.80
2018-11-30 00:53:00,1008.80
2018-11-30 00:58:00,1008.90
2018-11-30 01:03:00,1009.00
2018-11-30 01:08:00,1009.20
2018-11-30 01:13:00,1009.30
2018-11-30 01:18:00,1009.40
2018-11-30 01:23:00,1009.60
2018-11-30 01:28:00,1009.80
2018-11-30 01:33:00,1009.90
2018-11-30 01:38:00,1010.00
2018-11-30 01:43:00,1010.00
2018-11-30 01:48:00,1010.10
2018-11-30 01:53:00,1010.30
2018-11-30 01:58:00,1010.30
2018-11-30 02:08:00,1010.30
2018-11-30 02:13:00,1010.40
2018-11-30 02:18:00,1010.40
2018-11-30 02:23:00,1010.40
2018-11-30 02:28:00,1010.40
2018-11-30 02:33:00,1010.50
2018-11-30 02:38:00,1010.60
2018-11-30 02:43:00,1010.70
2018-11-30 02:48:00,1010.70
2018-11-30 02:53:00,1010.80
2018-11-30 02:58:00,1010.80
2018-11-30 03:03:00,1010.90
2018-11-30 03:08:00,1011.00
2018-11-30 03:13:00,1011.10
2018-11-30 03:18:00,1011.10
2018-11-30 03:23:00,1011.20
2018-11-30 03:33:00,1011.40
2018-11-30 03:38:00,1011.40
2018-11-30 03:43:00,1011.50
2018-11-30 03:48:00,1011.60
2018-11-30 03:53:00,1011.70
2018-11-30 03:58:00,1011.80
2018-11-30 04:03:00,1011.90
2018-11-30 04:08:00,1012.00
2018-11-30 04:13:00,1012.10
2018-11-30 04:18:00,1012.10
2018-11-30 04:22:00,1012.10
2018-11-30 04:27:00,1012.10
2018-11-30 04:33:00,1012.10
2018-11-30 04:38:00,1012.10
2018-11-30 04:43:00,1012.20
2018-11-30 04:48:00,1012.20
2018-11-30 04:53:00,1012.30
2018-11-30 04:58:00,1012.30
2018-11-30 05:03:00,1012.30
2018-11-30 05:08:00,1012.40
2018-11-30 05:13:00,1012.40
2018-11-30 05:18:00,1012.30
2018-11-30 05:23:00,1012.30
2018-11-30 05:28:00,1012.40
2018-11-30 05:33:00,1012.40
2018-11-30 05:38:00,1012.40
2018-11-30 05:43:00,1012.40
2018-11-30 05:48:00,1012.40
2018-11-30 05:53:00,1012.30
2018-11-30 05:58:00,1012.30
2018-11-30 06:08:00,1012.50
2018-11-30 06:13:00,1012.60
2018-11-30 06:18:00,1012.60
2018-11-30 06:23:00,1012.70
2018-11-30 06:28:00,1012.80
2018-11-30 06:33:00,1012.80
2018-11-30 06:38:00,1012.80
2018-11-30 06:43:00,1012.90
2018-11-30 06:48:00,1013.00
2018-11-30 06:53:00,1013.00
2018-11-30 06:58:00,1013.00
2018-11-30 07:03:00,1013.10
2018-11-30 07:08:00,1013.20
2018-11-30 07:13:00,1013.20
2018-11-30 07:18:00,1013.20
2018-11-30 07:23:00,1013.20
2018-11-30 07:28:00,1013.20
2018-11-30 07:33:00,1013.20
2018-11-30 07:38:00,1013.30
2018-11-30 07:43:00,1013.30
2018-11-30 07:48:00,1013.40
2018-11-30 07:53:00,1013.40
2018-11-30 07:58:00,1013.40
2018-11-30 08:03:00,1013.40
2018-11-30 08:08:00,1013.60
2018-11-30 08:13:00,1013.70
2018-11-30 08:18:00,1013.80
2018-11-30 08:23:00,1013.80
2018-11-30 08:28:00,1013.90
2018-11-30 08:33:00,1014.00
2018-11-30 08:38:00,1014.00
2018-11-30 08:43:00,1014.00
2018-11-30 08:48:00,1014.00
2018-11-30 08:53:00,1014.00
2018-11-30 08:58:00,1014.00
2018-11-30 09:03:00,1014.10
2018-11-30 09:08:00,1014.10
2018-11-30 09:13:00,1014.20
2018-11-30 09:18:00,1014.20
2018-11-30 09:22:00,1014.20
2018-11-30 09:28:00,1014.20
2018-11-30 09:33:00,1014.20
2018-11-30 09:38:00,1014.30
2018-11-30 09:43:00,1014.30
2018-11-30 09:48:00,1014.30
2018-11-30 09:53:00,1014.40
2018-11-30 09:58:00,1014.50
2018-11-30 10:03:00,1014.40
2018-11-30 10:08:00,1014.30
2018-11-30 10:13:00,1014.40
2018-11-30 10:18:00,1014.40
2018-11-30 10:23:00,1014.30
2018-11-30 10:28:00,1014.50
2018-11-30 10:33:00,1014.50
2018-11-30 10:38:00,1014.60
2018-11-30 10:43:00,1014.60
2018-11-30 10:48:00,1014.60
2018-11-30 10:53:00,1014.60
2018-11-30 10:58:00,1014.70
2018-11-30 11:03:00,1014.80
2018-11-30 11:08:00,1014.90
2018-11-30 11:13:00,1014.90
2018-11-30 11:18:00,1014.90
2018-11-30 11:23:00,1015.00
2018-11-30 11:28:00,1015.10
2018-11-30 11:33:00,1015.30
2018-11-30 11:38:00,1015.40
2018-11-30 11:43:00,1015.40
2018-11-30 11:48:00,1015.50
2018-11-30 11:53:00,1015.50
2018-11-30 11:58:00,1015.60
2018-11-30 12:03:00,1015.70
2018-11-30 12:08:00,1015.60
2018-11-30 12:13:00,1015.70
2018-11-30 12:18:00,1015.90
2018-11-30 12:23:00,1015.90
2018-11-30 12:28:00,1015.90
2018-11-30 12:33:00,1016.00
2018-11-30 12:38:00,1016.10
2018-11-30 12:43:00,1016.10
2018-11-30 12:48:00,1016.10
2018-11-30 12:53:00,1016.20
2018-11-30 12:58:00,1016.20
2018-11-30 13:03:00,1016.30
2018-11-30 13:08:00,1016.20
2018-11-30 13:13:00,1016.20
2018-11-30 13:18:00,1016.30
2018-11-30 13:23:00,1016.30
2018-11-30 13:28:00,1016.30
2018-11-30 13:33:00,1016.20
2018-11-30 13:38:00,1016.20
2018-11-30 13:43:00,1016.10
2018-11-30 13:48:00,1016.00
2018-11-30 13:53:00,1016.10
2018-11-30 13:58:00,1016.10
2018-11-30 14:03:00,1016.20
2018-11-30 14:08:00,1016.20
2018-11-30 14:13:00,1016.30
2018-11-30 14:18:00,1016.30
2018-11-30 14:23:00,1016.30
2018-11-30 14:28:00,1016.40
2018-11-30 14:33:00,1016.40
2018-11-30 14:38:00,1016.40
2018-11-30 14:43:00,1016.50
2018-11-30 14:48:00,1016.40
2018-11-30 14:53:00,1016.30
2018-11-30 14:58:00,1016.30
2018-11-30 15:03:00,1016.30
2018-11-30 15:08:00,1016.30
2018-11-30 15:13:00,1016.30
2018-11-30 15:18:00,1016.30
2018-11-30 15:23:00,1016.20
2018-11-30 15:28:00,1016.10
2018-11-30 15:33:00,1016.10
2018-11-30 15:38:00,1016.10
2018-11-30 15:43:00,1016.10
2018-11-30 15:48:00,1016.10
2018-11-30 15:53:00,1016.10
2018-11-30 15:58:00,1016.10
2018-11-30 16:03:00,1016.10
2018-11-30 16:08:00,1016.00
2018-11-30 16:13:00,1015.90
2018-11-30 16:18:00,1015.90
2018-11-30 16:23:00,1015.80
2018-11-30 16:28:00,1015.80
2018-11-30 16:33:00,1015.80
2018-11-30 16:38:00,1015.80
2018-11-30 16:43:00,1015.80
2018-11-30 16:48:00,1015.90
2018-11-30 16:53:00,1015.80
2018-11-30 16:58:00,1015.80
2018-11-30 17:03:00,1015.80
2018-11-30 17:08:00,1015.70
2018-11-30 17:13:00,1015.70
2018-11-30 17:18:00,1015.60
2018-11-30 17:23:00,1015.60
2018-11-30 17:28:00,1015.60
2018-11-30 17:33:00,1015.50
2018-11-30 17:38:00,1015.60
2018-11-30 17:43:00,1015.50
2018-11-30 17:48:00,1015.50
2018-11-30 17:53:00,1015.40
2018-11-30 17:58:00,1015.40
2018-11-30 18:03:00,1015.30
2018-11-30 18:08:00,1015.30
2018-11-30 18:13:00,1015.30
2018-11-30 18:18:00,1015.30
2018-11-30 18:23:00,1015.30
2018-11-30 18:28:00,1015.30
2018-11-30 18:33:00,1015.40
2018-11-30 18:38:00,1015.30
2018-11-30 18:43:00,1015.30
2018-11-30 18:48:00,1015.30
2018-11-30 18:53:00,1015.30
2018-11-30 18:58:00,1015.20
2018-11-30 19:03:00,1015.30
2018-11-30 19:08:00,1015.30
2018-11-30 19:13:00,1015.40
2018-11-30 19:18:00,1015.40
2018-11-30 19:23:00,1015.50
2018-11-30 19:28:00,1015.50
2018-11-30 19:33:00,1015.50
2018-11-30 19:38:00,1015.50
2018-11-30 19:43:00,1015.70
2018-11-30 19:48:00,1015.70
2018-11-30 19:53:00,1015.80
2018-11-30 19:58:00,1015.80
2018-11-30 20:03:00,1015.90
2018-11-30 20:08:00,1015.90
2018-11-30 20:13:00,1016.10
2018-11-30 20:18:00,1016.00
2018-11-30 20:23:00,1016.00
2018-11-30 20:28:00,1016.10
2018-11-30 20:33:00,1016.10
2018-11-30 20:38:00,1016.10
2018-11-30 20:43:00,1016.10
2018-11-30 20:48:00,1016.10
2018-11-30 20:53:00,1016.20
2018-11-30 20:58:00,1016.20
2018-11-30 21:03:00,1016.30
2018-11-30 21:08:00,1016.40
2018-11-30 21:13:00,1016.50
2018-11-30 21:18:00,1016.50
2018-11-30 21:23:00,1016.50
2018-11-30 21:28:00,1016.50
2018-11-30 21:33:00,1016.50
2018-11-30 21:38:00,1016.60
2018-11-30 21:43:00,1016.60
2018-11-30 21:48:00,1016.60
2018-11-30 21:53:00,1016.60
2018-11-30 21:58:00,1016.70
2018-11-30 22:03:00,1016.70
2018-11-30 22:08:00,1016.70
2018-11-30 22:13:00,1016.60
2018-11-30 22:18:00,1016.60
2018-11-30 22:23:00,1016.60
2018-11-30 22:28:00,1016.60
2018-11-30 22:33:00,1016.50
2018-11-30 22:38:00,1016.60
2018-11-30 22:43:00,1016.60
2018-11-30 22:48:00,1016.60
2018-11-30 22:53:00,1016.60
2018-11-30 22:58:00,1016.70
2018-11-30 23:03:00,1016.70
2018-11-30 23:08:00,1016.70
2018-11-30 23:13:00,1016.70
2018-11-30 23:18:00,1016.80
2018-11-30 23:23:00,1016.70
2018-11-30 23:28:00,1016.80
2018-11-30 23:33:00,1016.80
2018-11-30 23:38:00,1016.90
2018-11-30 23:43:00,1016.90
2018-11-30 23:48:00,1016.90
2018-11-30 23:58:00,1017.00
2018-12-01 00:03:00,1016.90
2018-12-01 00:08:00,1017.00
2018-12-01 00:13:00,1016.90
2018-12-01 00:18:00,1016.90
2018-12-01 00:23:00,1016.90
2018-12-01 00:33:00,1016.90
2018-12-01 00:38:00,1016.90
2018-12-01 00:43:00,1016.90
2018-12-01 00:48:00,1017.00
2018-12-01 00:53:00,1017.00
2018-12-01 00:58:00,1017.00
2018-12-01 01:03:00,1017.00
2018-12-01 01:08:00,1017.00
2018-12-01 01:13:00,1017.00
2018-12-01 01:18:00,1017.10
2018-12-01 01:23:00,1017.10
2018-12-01 01:28:00,1017.20
2018-12-01 01:38:00,1017.30
2018-12-01 01:43:00,1017.30
2018-12-01 01:48:00,1017.30
2018-12-01 01:53:00,1017.40
2018-12-01 01:58:00,1017.50
2018-12-01 02:03:00,1017.50
2018-12-01 02:08:00,1017.50
2018-12-01 02:13:00,1017.50
2018-12-01 02:18:00,1017.50
2018-12-01 02:23:00,1017.60
2018-12-01 02:28:00,1017.70
2018-12-01 02:33:00,1017.70
2018-12-01 02:38:00,1017.70
2018-12-01 02:43:00,1017.70
2018-12-01 02:48:00,1017.70
2018-12-01 02:53:00,1017.70
2018-12-01 02:58:00,1017.70
2018-12-01 03:03:00,1017.60
2018-12-01 03:08:00,1017.50
2018-12-01 03:13:00,1017.60
2018-12-01 03:18:00,1017.60
2018-12-01 03:23:00,1017.60
2018-12-01 03:28:00,1017.60
2018-12-01 03:33:00,1017.60
2018-12-01 03:38:00,1017.60
2018-12-01 03:43:00,1017.70
2018-12-01 03:48:00,1017.70
2018-12-01 03:53:00,1017.80
2018-12-01 03:58:00,1017.80
2018-12-01 04:03:00,1017.80
2018-12-01 04:08:00,1017.80
2018-12-01 04:13:00,1017.80
2018-12-01 04:18:00,1017.80
2018-12-01 04:28:00,1017.80
2018-12-01 04:33:00,1017.70
2018-12-01 04:38:00,1017.70
2018-12-01 04:43:00,1017.80
2018-12-01 04:53:00,1017.90
2018-12-01 04:58:00,1017.80
2018-12-01 05:03:00,1017.90
2018-12-01 05:08:00,1018.00
2018-12-01 05:13:00,1018.10
2018-12-01 05:18:00,1018.10
2018-12-01 05:23:00,1018.10
2018-12-01 05:28:00,1018.10
2018-12-01 05:33:00,1018.10
2018-12-01 05:38:00,1018.10
2018-12-01 05:43:00,1018.10
2018-12-01 05:48:00,1018.20
2018-12-01 05:53:00,1018.20
2018-12-01 06:03:00,1018.20
2018-12-01 06:08:00,1018.20
2018-12-01 06:13:00,1018.20
2018-12-01 06:18:00,1018.30
2018-12-01 06:23:00,1018.40
2018-12-01 06:28:00,1018.40
2018-12-01 06:33:00,1018.50
2018-12-01 06:38:00,1018.60
2018-12-01 06:43:00,1018.70
2018-12-01 06:48:00,1018.80
2018-12-01 06:53:00,1018.80
2018-12-01 06:58:00,1018.90
2018-12-01 07:03:00,1019.00
2018-12-01 07:08:00,1019.00
2018-12-01 07:13:00,1019.00
2018-12-01 07:18:00,1019.00
2018-12-01 07:23:00,1019.10
2018-12-01 07:28:00,1019.10
2018-12-01 07:33:00,1019.10
2018-12-01 07:38:00,1019.20
2018-12-01 07:43:00,1019.20
2018-12-01 07:48:00,1019.20
2018-12-01 07:53:00,1019.30
2018-12-01 07:58:00,1019.30
2018-12-01 08:03:00,1019.30
2018-12-01 08:08:00,1019.40
2018-12-01 08:13:00,1019.40
2018-12-01 08:18:00,1019.40
2018-12-01 08:23:00,1019.40
2018-12-01 08:28:00,1019.40
2018-12-01 08:33:00,1019.50
2018-12-01 08:38:00,1019.40
2018-12-01 08:43:00,1019.40
2018-12-01 08:48:00,1019.30
2018-12-01 08:53:00,1019.40
2018-12-01 08:58:00,1019.30
2018-12-01 09:03:00,1019.20
2018-12-01 09:08:00,1019.30
2018-12-01 09:13:00,1019.30
2018-12-01 09:18:00,1019.30
2018-12-01 09:23:00,1019.30
2018-12-01 09:28:00,1019.30
2018-12-01 09:33:00,1019.50
2018-12-01 09:38:00,1019.50
2018-12-01 09:43:00,1019.50
2018-12-01 09:48:00,1019.60
2018-12-01 09:53:00,1019.80
2018-12-01 09:58:00,1019.70
2018-12-01 10:13:00,1019.70
2018-12-01 10:18:00,1019.80
2018-12-01 10:23:00,1020.00
2018-12-01 10:28:00,1020.10
2018-12-01 10:33:00,1020.10
2018-12-01 10:38:00,1020.20
2018-12-01 10:48:00,1020.40
2018-12-01 10:53:00,1020.40
2018-12-01 10:58:00,1020.60
2018-12-01 11:03:00,1020.70
2018-12-01 11:08:00,1020.80
2018-12-01 11:13:00,1020.90
2018-12-01 11:18:00,1021.20
2018-12-01 11:23:00,1021.10
2018-12-01 11:33:00,1021.40
2018-12-01 11:38:00,1021.40
2018-12-01 11:43:00,1021.50
2018-12-01 11:48:00,1021.60
2018-12-01 11:53:00,1021.70
2018-12-01 11:58:00,1021.90
2018-12-01 12:03:00,1022.00
2018-12-01 12:08:00,1022.10
2018-12-01 12:13:00,1022.30
2018-12-01 12:18:00,1022.40
2018-12-01 12:23:00,1022.30
2018-12-01 12:28:00,1022.20
2018-12-01 12:33:00,1022.20
2018-12-01 12:38:00,1022.10
2018-12-01 12:43:00,1022.30
2018-12-01 12:48:00,1022.50
2018-12-01 12:53:00,1022.50
2018-12-01 12:58:00,1022.50
2018-12-01 13:03:00,1022.50
2018-12-01 13:08:00,1022.40
2018-12-01 13:13:00,1022.40
2018-12-01 13:18:00,1022.20
2018-12-01 13:23:00,1022.30
2018-12-01 13:28:00,1022.30
2018-12-01 13:33:00,1022.40
2018-12-01 13:38:00,1022.40
2018-12-01 13:43:00,1022.20
2018-12-01 13:48:00,1022.20
2018-12-01 13:53:00,1022.30
2018-12-01 13:58:00,1022.20
2018-12-01 14:03:00,1022.10
2018-12-01 14:08:00,1022.40
2018-12-01 14:13:00,1022.50
2018-12-01 14:18:00,1022.60
2018-12-01 14:23:00,1022.40
2018-12-01 14:28:00,1022.40
2018-12-01 14:33:00,1022.30
2018-12-01 14:38:00,1022.30
2018-12-01 14:43:00,1022.30
2018-12-01 14:53:00,1022.30
2018-12-01 14:58:00,1022.20
2018-12-01 15:03:00,1022.10
2018-12-01 15:08:00,1022.20
2018-12-01 15:13:00,1022.00
2018-12-01 15:18:00,1022.00
2018-12-01 15:23:00,1021.90
2018-12-01 15:28:00,1022.10
2018-12-01 15:33:00,1021.90
2018-12-01 15:38:00,1021.70
2018-12-01 15:43:00,1021.60
2018-12-01 15:48:00,1021.80
